id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,color,quantity_to_sell_on_facebook
470337540,"White Torso SW Clone Pilot with Sand Blue Hoses, Black Straps Pattern / Sand Blue Arms / White Hands",PART 973pb0362c01,In Stock,Used,1.68 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470337540"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/1/973pb0362c01.png,Lego,3287,47,White,1
470337560,"Trans-Bright Green Ball, Bionicle Zamor Sphere",PART 54821,In Stock,Used,2.20 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470337560"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/108/54821.png,Lego,3287,47,Trans-Bright Green,1
470337601,"Black Train Wheel RC, Holder",PART 2878,In Stock,Used,1.06 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470337601"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/2878.png,Lego,3287,47,Black,8
470338021,"Black Boat, Rubber Raft, Large",PART 62812,In Stock,Used,3.01 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338021"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/62812.png,Lego,3287,47,Black,1
470338023,"Yellow Minifigure, Head Cyborg with Silver Mechanical Right Eye Lime, Dark Orange Scars on Left Cheek, Black Stubble Pattern",PART 3626pb0309,In Stock,Used,1.75 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338023"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/3/3626pb0309.png,Lego,3287,47,Yellow,1
470338071,"Light Bluish Gray Minifigure, Hair Swept Back with Widow's Peak",PART 64798,In Stock,Used,1.23 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338071"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/86/64798.png,Lego,3287,47,Light Bluish Gray,2
470338074,"Light Bluish Gray Technic, Liftarm, Modified Frame Thick 5 x 7 Open Center",PART 64179,In Stock,Used,1.28 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338074"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/86/64179.png,Lego,3287,47,Light Bluish Gray,1
470338130,"Dark Blue Technic, Panel Fairing # 6 Long Smooth, Side B",PART 64393,In Stock,Used,1.09 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338130"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/63/64393.png,Lego,3287,47,Dark Blue,1
470338132,"Dark Blue Technic, Panel Fairing # 5 Long Smooth, Side A",PART 64681,In Stock,Used,1.04 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338132"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/63/64681.png,Lego,3287,47,Dark Blue,1
470338205,"Green Minifigure, Headgear Helmet Army with Cross in White Circle Pattern (Medic)",PART 87998pb01,In Stock,Used,1.53 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338205"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/6/87998pb01.png,Lego,3287,47,Green,1
470338283,Dark Purple Wheel 75mm D. x 17mm Motorcycle,PART 88517,In Stock,Used,1.51 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338283"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/89/88517.png,Lego,3287,47,Dark Purple,1
470338284,Pearl Gold Wheel 75mm D. x 17mm Motorcycle,PART 88517,In Stock,Used,1.38 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338284"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/115/88517.png,Lego,3287,47,Pearl Gold,1
470338285,Black Wheel 75mm D. x 17mm Motorcycle with Black Tire 94.2mm D. x 22mm Motorcycle Racing Tread (88517 / 88516),PART 88517c01,In Stock,Used,3.07 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338285"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/88517c01.png,Lego,3287,47,Black,1
470338326,"Black Minifigure, Utensil Fishing Rod / Pole, 8L",PART 93222,In Stock,Used,1.67 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338326"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/93222.png,Lego,3287,47,Black,1
470338377,(Not Applicable) Kai - The Golden Weapons,MINIFIG njo0007,In Stock,Used,3.84 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338377"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/0/njo0007.png,Lego,3287,47,(Not Applicable),1
470338399,"Tan Minifigure, Hair Mohawk",PART 93563,In Stock,Used,2.28 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338399"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/2/93563.png,Lego,3287,47,Tan,1
470338427,Black Torso Ninjago Gold Dragon Front and Gold Lion and 'COLE' Back Pattern / Black Arms / Black Hands,PART 973pb0863c01,In Stock,Used,1.19 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338427"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/11/973pb0863c01.png,Lego,3287,47,Black,1
470338472,Light Bluish Gray Body Microfigure Complete,PART 85863,In Stock,Used,1.53 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338472"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/86/85863.png,Lego,3287,47,Light Bluish Gray,1
470338533,"Yellow Minifigure, Head, Modified SpongeBob SquarePants with Open Mouth Smile Large Pattern",PART 54872pb08,In Stock,Used,1.97 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338533"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/3/54872pb08.png,Lego,3287,47,Yellow,1
470338550,(Not Applicable) Jay ZX - Shoulder Armor,MINIFIG njo0047,In Stock,Used,5.34 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338550"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/0/njo0047.png,Lego,3287,47,(Not Applicable),1
470338557,"Pearl Gold Minifigure, Head, Modified SW 3PO / TC Series Protocol Droid with Bright Light Yellow Eyes Pattern (C-3PO / K-3PO / TC-4 / TC-14 / U-3PO)",PART x134pb01,In Stock,Used,1.17 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338557"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/115/x134pb01.png,Lego,3287,47,Pearl Gold,1
470338559,"Light Bluish Gray Tile, Round 2 x 2 with Black SW Tie Fighter Pattern",PART 4150pb086,In Stock,Used,1.11 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338559"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/86/4150pb086.png,Lego,3287,47,Light Bluish Gray,2
470338560,"Pearl Dark Gray Minifigure, Headgear Helmet Ninja / Samurai with Clip and Long Visor",PART 98128,In Stock,Used,1.35 AUD,"https://store.bricklink.com/luke.donohoe#/shop?o={""q"":""470338560"",""sort"":0,""pgSize"":100,""showHomeItems"":0}",https://img.bricklink.com/ItemImage/PN/77/98128.png,Lego,3287,47,Pearl Dark Gray,1
